time,acc x,acc y, acc z,gyro x, gyro y,gyro z
52833,-26,-46,989,70,210,-210
52933,-27,-46,990,70,140,-140
53034,-27,-46,990,140,210,-140
53133,-26,-46,989,140,140,-140
53234,-27,-47,990,70,280,-140
53334,-27,-47,989,140,210,-210
53433,-27,-47,989,70,210,-140
53534,-27,-46,989,140,210,-140
53633,-27,-46,989,70,280,-140
53733,-27,-46,990,70,210,-140
53834,-27,-46,989,140,280,-140
53933,-27,-46,989,70,210,-140
54033,-27,-47,990,70,280,-140
54134,-27,-47,989,140,280,-210
54233,-27,-46,989,70,210,-210
54334,-27,-46,990,140,210,-140
54434,-26,-46,989,0,210,-140
54533,-27,-46,989,70,280,-140
54634,-26,-46,990,140,210,-140
54734,-27,-46,990,70,280,-70
54833,-27,-47,989,70,210,-140
54934,-27,-47,989,140,210,-140
55033,-27,-47,990,70,210,-140
55133,-26,-46,989,70,210,-140
55234,-27,-46,989,0,210,-140
55333,-27,-46,989,70,280,-210
55433,-26,-46,989,70,210,-140
55534,-27,-46,989,70,210,-140
55633,-27,-46,989,140,210,-140
55734,-27,-46,989,0,280,-210
55834,-27,-47,990,210,140,-140
55933,-27,-46,989,70,280,-140
56034,-27,-46,989,70,140,-140
56134,-27,-47,990,70,210,-140
56233,-26,-47,989,70,210,-140
56334,-26,-46,990,70,210,-140
56433,-27,-46,989,140,210,-210
56533,-27,-47,989,70,210,-140
56634,-27,-46,990,140,210,-210
56733,-26,-46,989,140,280,-140
56833,-27,-46,990,70,140,-140
56934,-27,-47,989,70,280,-140
57033,-27,-46,989,140,140,-140
57134,-26,-46,990,70,210,-140
57234,-26,-47,990,70,280,-140
57333,-26,-47,990,70,280,-210
57434,-26,-46,989,140,210,-140
57533,-27,-47,989,70,280,-140
57633,-27,-46,990,70,210,-140
57734,-26,-46,990,70,280,-140
57833,-26,-47,990,140,210,-210
57933,-27,-47,990,70,210,-140
58034,-27,-46,989,70,210,-210
58133,-27,-47,990,70,280,-140
58234,-27,-46,989,140,140,-140
58334,-26,-46,990,70,280,-140
58433,-27,-46,990,70,210,-140
58534,-27,-46,989,70,280,-210
58633,-26,-46,989,140,140,-140
58733,-26,-47,989,140,210,-140
58834,-25,-46,990,70,210,-140
58933,-27,-46,990,70,210,-140
59033,-26,-46,990,140,140,-210
59134,-28,-46,991,140,280,-140
59233,-27,-46,989,140,210,-140
59334,-27,-46,989,70,280,-140
59434,-26,-46,989,140,140,-210
59533,-26,-47,991,140,280,-140
59634,-26,-46,990,140,140,-140
59734,-27,-46,989,140,280,-210
59833,-26,-46,989,140,140,-140
59934,-27,-46,990,70,280,-140
60033,-26,-46,989,140,210,-210
60133,-27,-46,990,140,280,-140
60234,-27,-46,989,70,140,-140
60333,-26,-46,990,70,280,-140
60433,-26,-46,990,70,210,-140
60534,-27,-46,989,70,210,-140
60633,-26,-46,989,70,140,-140
60734,-26,-46,990,70,210,-210
60834,-26,-46,990,140,140,-140
60933,-26,-46,990,140,210,-140
61034,-27,-46,988,70,280,-140
61133,-27,-46,989,140,140,-140
61233,-27,-46,989,210,210,-210
61334,-26,-46,989,140,210,-210
61433,-26,-46,990,70,210,-140
61533,-26,-46,990,70,210,-210
61634,-26,-46,990,0,210,-140
61733,-27,-47,990,70,210,-140
61834,-27,-46,989,140,280,-140
61934,-27,-46,991,70,140,-140
62033,-26,-46,989,70,280,-140
62134,-28,-46,990,70,140,-140
62233,-26,-46,990,70,280,-70
62333,-27,-47,989,140,140,-140
62434,-27,-46,989,70,210,-140
62533,-27,-46,989,70,210,-140
62633,-27,-46,989,70,210,-140
62734,-26,-46,990,70,210,-140
62833,-26,-46,989,70,280,-140
62934,-27,-46,990,70,140,-140
63034,-27,-46,988,70,280,-210
63133,-27,-46,990,140,210,-140
63234,-27,-46,990,70,280,-210
63333,-27,-46,990,140,140,-140
63433,-27,-47,990,140,210,-140
63534,-26,-46,989,140,140,-140
63633,-27,-46,989,70,350,-210
63733,-27,-46,989,70,70,-140
63834,-27,-46,989,140,280,-140
63933,-27,-46,989,70,140,-140
64034,-27,-46,988,70,420,-140
64134,-27,-46,989,140,70,-210
64233,-27,-46,989,0,280,-140
64334,-27,-47,989,70,140,-210
64434,-26,-46,990,70,280,-140
64533,-26,-46,990,70,140,-140
64634,-27,-47,990,70,280,-70
64733,-26,-46,988,70,140,-140
64833,-27,-46,989,140,350,-140
64934,-27,-46,989,140,70,-140
65033,-27,-46,989,70,350,-140
65134,-26,-46,988,70,70,-140
65234,-26,-45,990,70,280,-140
65333,-26,-46,989,70,70,-140
65434,-27,-46,989,70,280,-140
65534,-26,-46,989,210,140,-210
65633,-27,-46,989,70,280,-140
65734,-27,-46,989,70,70,-140
65833,-27,-47,990,70,280,-140
65933,-26,-46,989,140,210,-210
66034,-27,-47,989,70,280,-210
66133,-27,-46,990,70,140,-210
66233,-26,-46,989,140,210,-140
66334,-27,-47,988,210,210,-210
66433,-26,-46,989,70,140,-210
66534,-27,-46,990,70,280,-140
66634,-27,-46,989,140,140,-140
66733,-27,-46,990,70,280,-140
66834,-26,-46,989,140,70,-140
66933,-27,-46,990,70,210,-140
67033,-26,-46,989,140,70,-210
67134,-27,-45,990,70,280,-140
67233,-27,-46,989,140,140,-140
67333,-27,-47,989,70,280,-210
67434,-26,-46,989,140,140,-140
67533,-27,-46,990,140,140,-140
67633,-26,-46,989,140,280,-140
67734,-26,-46,989,70,210,-210
67833,-26,-46,989,70,280,-140
67934,-26,-47,990,140,140,-70
68034,-26,-46,989,70,280,-140
68133,-26,-46,990,140,140,-210
68234,-27,-47,990,70,210,-140
68333,-25,-47,990,140,140,-140
68433,-26,-46,990,70,280,-210
68534,-26,-46,989,140,140,-140
68633,-27,-46,990,70,280,-140
68733,-27,-46,989,70,140,-140
68834,-26,-46,989,70,210,-140
68933,-27,-46,989,70,140,-140
69033,-27,-46,990,70,280,-140
69134,-27,-47,990,70,210,-210
69233,-27,-47,989,70,280,-70
69334,-26,-46,988,140,140,-140
69434,-27,-46,990,0,280,-140
69533,-26,-46,990,70,210,-210
69634,-26,-46,990,70,280,-210
69733,-27,-46,990,210,210,-140
69833,-26,-46,990,70,210,-140
69934,-26,-45,989,140,280,-210
70033,-27,-46,989,70,280,-140
70133,-27,-46,989,140,140,-140
70234,-27,-46,991,140,280,-140
70333,-27,-46,989,140,140,-140
70433,-27,-47,989,70,280,-140
70534,-26,-46,988,70,140,-140
70633,-26,-46,989,140,280,-140
70734,-26,-47,990,70,210,-140
70834,-26,-46,990,0,280,-140
70933,-26,-46,990,70,210,-70
71034,-27,-46,990,140,280,-140
71133,-27,-46,989,70,140,-140
71233,-27,-47,989,140,210,-140
71334,-26,-46,990,140,210,-140
71433,-27,-46,990,70,280,-140
71533,-27,-45,990,70,140,-210
71634,-26,-46,990,140,350,-140
71733,-27,-46,989,140,140,-140
71834,-26,-46,988,70,280,-140
71934,-27,-47,989,70,70,-140
72033,-27,-46,989,70,280,-140
72134,-27,-46,991,140,280,-210
72233,-26,-46,990,70,350,-140
72333,-26,-47,990,140,210,-140
72434,-26,-46,989,70,280,-140
72533,-27,-46,990,140,210,-140
72633,-26,-46,990,140,210,-140
72734,-27,-46,990,140,210,-140
72833,-26,-46,990,140,280,-140
72934,-27,-46,990,140,210,-140
73034,-27,-46,989,70,280,-210
73133,-26,-46,989,140,140,-140
73234,-27,-47,990,140,210,-140
73333,-26,-46,989,140,210,-210
73433,-26,-46,989,70,280,-210
73534,-26,-46,988,70,210,-210
73633,-27,-47,989,140,210,-210
73733,-26,-47,989,70,210,-140
73834,-27,-46,990,140,210,-140
73933,-26,-46,989,70,280,-210
74033,-27,-46,990,70,210,-140
74134,-26,-46,991,0,210,-140
74233,-27,-46,989,140,280,-140
74334,-27,-46,989,70,210,-140
74434,-27,-47,991,70,210,-140
74533,-27,-46,990,70,210,-140
74634,-27,-47,990,70,280,-140
74733,-27,-46,988,70,210,-140
74833,-26,-46,989,70,280,-140
74934,-27,-46,989,70,140,-140
75033,-27,-46,989,0,280,-140
75133,-26,-46,990,140,140,-140
75234,-26,-46,990,140,210,-140
75333,-27,-46,990,0,350,-140
75434,-27,-46,991,70,70,-140
75534,-26,-46,989,140,280,-140
75633,-27,-46,991,210,210,-140
75734,-27,-46,989,70,210,-140
75834,-27,-46,990,140,140,-210
75933,-26,-46,988,70,140,-140
76034,-27,-46,989,70,280,-210
76133,-27,-46,989,140,140,-140
76233,-27,-46,989,70,280,-140
76334,-26,-46,989,70,210,-210
76433,-26,-46,990,70,280,-140
76534,-27,-46,991,140,140,-140
76634,-26,-46,990,70,280,-140
76733,-27,-46,989,140,140,-140
76834,-26,-46,990,70,280,-210
76933,-27,-47,989,140,210,-140
77033,-26,-47,990,140,280,-210
77134,-26,-46,989,70,210,-210
77233,-27,-47,989,140,420,-140
77333,-27,-46,988,70,70,-210
77434,-27,-46,989,70,210,-210
77533,-27,-46,988,140,210,-140
77633,-26,-46,990,70,140,-140
77734,-26,-46,988,70,140,-210
77833,-27,-46,990,0,210,-140
77934,-26,-46,989,140,210,-140
78034,-27,-46,990,70,140,-140
78133,-26,-46,989,140,140,-140
78234,-27,-46,990,0,210,-140
78333,-26,-46,988,70,210,-140
78433,-27,-46,990,70,210,-140
78534,-27,-46,989,70,70,-210
78633,-26,-46,989,70,350,-140
78733,-26,-47,989,140,140,-140
78834,-27,-46,990,70,350,-140
78933,-26,-47,989,140,140,-140
79033,-27,-46,990,70,280,-140
79134,-26,-46,990,140,140,-140
79233,-28,-46,990,70,280,-140
79334,-26,-46,990,70,140,-210
79434,-27,-46,989,140,280,-140
79533,-26,-47,988,70,70,-210
79634,-27,-46,989,0,420,-140
79734,-27,-46,989,140,-140,-210
79833,-26,-47,988,0,280,-140
79934,-27,-47,990,70,140,-140
80033,-26,-46,988,140,210,-140
